epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.02,0,1,16,18.4284,0.0,0.00071,
1.0,1,65,1040,17.1562,0.5,0.00071,15.7753
2.0,1,130,2071,14.4499,1.0,0.00071,13.6098
3.0,1,195,3102,13.2465,1.4,0.00071,12.8696
4.0,1,260,4133,12.7118,1.8,0.00071,12.6834
5.0,1,325,5164,12.3644,2.3,0.00071,12.3065
6.0,1,390,6195,11.9879,2.7,0.00071,12.0871
7.0,1,455,7226,11.8096,3.1,0.00071,11.886
8.0,1,520,8257,11.709,3.6,0.00071,11.7166
9.0,1,585,9288,11.4965,4.0,0.00071,11.5531
10.0,1,650,10319,11.2357,4.4,0.00071,11.4684
11.0,0,715,11350,11.2063,4.9,0.00071,11.47
12.0,1,780,12381,11.1168,5.3,0.00071,11.2442
13.0,0,845,13412,11.0257,5.7,0.00071,11.313
14.0,1,910,14443,10.8759,6.1,0.00071,11.155
15.0,1,975,15474,10.7747,6.6,0.00071,11.1016
16.0,0,1040,16505,10.81,7.0,0.00071,11.1187
17.0,1,1105,17536,10.5985,7.4,0.00071,11.044
18.0,0,1170,18567,10.709,7.9,0.00071,11.0812
19.0,1,1235,19598,10.5634,8.3,0.00071,11.0427
20.0,1,1300,20629,10.4944,8.7,0.00071,11.0208
21.0,0,1365,21660,10.4552,9.1,0.00071,11.0612
22.0,0,1430,22691,10.5016,9.6,0.00071,11.0877
23.0,1,1495,23722,10.338,10.0,0.00071,10.9701
24.0,1,1560,24753,10.3588,10.4,0.00071,10.9414
25.0,0,1625,25784,10.3401,10.8,0.00071,11.0314
26.0,0,1690,26815,10.322,11.3,0.00071,11.034
27.0,1,1755,27846,10.3323,11.7,0.00071,10.8637
