epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.02,0,1,8,17.7035,0.0,0.0005,
1.0,1,50,400,16.7765,0.3,0.0005,16.0137
2.0,1,100,800,15.3129,0.7,0.0005,14.6608
3.0,1,150,1200,13.865,1.0,0.0005,13.1428
4.0,1,200,1600,12.5897,1.3,0.0005,12.5954
5.0,1,250,2000,12.1327,1.7,0.0005,12.0971
6.0,1,300,2400,11.7146,2.0,0.0005,11.695
7.0,1,350,2800,11.5082,2.4,0.0005,11.5348
8.0,1,400,3200,11.2801,2.7,0.0005,11.3427
9.0,1,450,3600,11.3629,3.0,0.0005,11.1632
10.0,1,500,4000,11.0095,3.4,0.0005,11.1424
